"id";"title";"platform";"score";"genre";"editors_choice"
1;"LittleBigPlanet PS Vita";"PlayStation Vita";9;"Platformer";"Y"
2;"Splice: Tree of Life";"iPad";9;"Puzzle";"N"
3;"NHL 13";"Xbox 360";9;"Sports";"N"
4;"NHL 13";"PlayStation 3";9;"Sports";"N"
5;"Total War Battles: Shogun";"Macintosh";7;"Strategy";"N"
6;"Double Dragon: Neon";"Xbox 360";3;"Fighting";"N"
7;"Guild Wars 2";"PC";9;"RPG";"Y"
8;"Double Dragon: Neon";"PlayStation 3";3;"Fighting";"N"
9;"Total War Battles: Shogun";"PC";7;"Strategy";"N"
10;"Tekken Tag Tournament 2";"PlayStation 3";8;"Fighting";"N"
11;"Tekken Tag Tournament 2";"Xbox 360";8;"Fighting";"N"
12;"Wild Blood";"iPhone";7;"";"N"
13;"Mark of the Ninja";"Xbox 360";9;"Action, Adventure";"Y"
14;"Mark of the Ninja";"PC";9;"Action, Adventure";"Y"
15;"Home: A Unique Horror Adventure";"Macintosh";7;"Adventure";"N"
16;"Home: A Unique Horror Adventure";"PC";7;"Adventure";"N"
17;"Avengers Initiative";"iPhone";8;"Action";"N"
18;"Way of the Samurai 4";"PlayStation 3";6;"Action, Adventure";"N"
19;"JoJo's Bizarre Adventure HD";"Xbox 360";7;"Fighting";"N"
20;"JoJo's Bizarre Adventure HD";"PlayStation 3";7;"Fighting";"N"
21;"Mass Effect 3: Leviathan";"Xbox 360";8;"RPG";"N"
22;"Mass Effect 3: Leviathan";"PlayStation 3";8;"RPG";"N"
23;"Mass Effect 3: Leviathan";"PC";8;"RPG";"N"
24;"Dark Souls (Prepare to Die Edition)";"PC";9;"Action, RPG";"Y"
25;"Symphony";"PC";7;"Shooter";"N"
26;"Bastion";"iPad";9;"Action, RPG";"Y"
27;"Tom Clancy's Ghost Recon Phantoms";"PC";8;"Shooter";"N"
28;"Thirty Flights of Loving";"PC";8;"Adventure";"N"
29;"Legasista";"PlayStation 3";7;"Action, RPG";"N"
30;"World of Warcraft: Mists of Pandaria";"PC";9;"RPG";"Y"
31;"Hell Yeah! Wrath of the Dead Rabbit";"PlayStation 3";5;"Platformer";"N"
32;"Pokemon White Version 2";"Nintendo DS";10;"RPG";"Y"
33;"War of the Roses";"PC";7;"Action";"N"
34;"Pokemon Black Version 2";"Nintendo DS";10;"RPG";"Y"
35;"Drakerider";"iPhone";7;"RPG";"N"
36;"Rock Band Blitz";"Xbox 360";9;"Music";"Y"
37;"Counter-Strike: Global Offensive";"Macintosh";8;"Shooter";"N"
38;"Worms Revolution";"PlayStation 3";9;"Strategy";"N"
39;"Worms Revolution";"PC";9;"Strategy";"N"
40;"Worms Revolution";"Xbox 360";9;"Strategy";"N"
41;"Bad Piggies";"iPhone";9;"Action";"Y"
42;"Resident Evil 6";"PlayStation 3";8;"Action, Adventure";"N"
43;"Resident Evil 6";"Xbox 360";8;"Action, Adventure";"N"
44;"Shad'O";"PC";7;"Adventure";"N"
45;"Demon's Score";"iPhone";7;"Action";"N"
46;"NBA 2K13";"Xbox 360";9;"Sports";"Y"
47;"Counter-Strike: Global Offensive";"PC";8;"Shooter";"N"
48;"The World Ends with You: Solo Remix";"iPad";10;"RPG";"Y"
49;"Counter-Strike: Global Offensive";"PlayStation 3";8;"Shooter";"N"
50;"The World Ends with You: Solo Remix";"iPhone";10;"RPG";"Y"
51;"Counter-Strike: Global Offensive";"Xbox 360";8;"Shooter";"N"
52;"Madden NFL 13";"PlayStation Vita";6;"Sports";"N"
53;"Madden NFL 13";"PlayStation 3";9;"Sports";"Y"
54;"Madden NFL 13";"Xbox 360";9;"Sports";"Y"
55;"Hoodwink";"PC";3;"Adventure";"N"
56;"NBA 2K13";"PlayStation 3";9;"Sports";"Y"
57;"NBA 2K13";"PC";9;"Sports";"Y"
58;"Lili: Child of Geos";"iPhone";7;"Adventure";"N"
59;"Marvel vs. Capcom Origins";"Xbox 360";8;"Fighting";"N"
60;"Marvel vs. Capcom Origins";"PlayStation 3";8;"Fighting";"N"
61;"Dead or Alive 5";"PlayStation 3";9;"Fighting";"N"
62;"Dead or Alive 5";"Xbox 360";9;"Fighting";"N"
63;"Medal of Honor Warfighter";"PC";4;"Shooter";"N"
64;"Professor Layton and the Miracle Mask";"Nintendo 3DS";9;"Adventure";"Y"
65;"Hotline Miami";"PC";9;"Action";"Y"
66;"Edna & Harvey: Harvey's New Eyes";"PC";6;"Adventure";"N"
67;"Medal of Honor Warfighter";"PlayStation 3";4;"Shooter";"N"
68;"Medal of Honor Warfighter";"Xbox 360";4;"Shooter";"N"
69;"Transformers: Fall of Cybertron";"Xbox 360";9;"Shooter";"N"
70;"Transformers: Fall of Cybertron";"PlayStation 3";9;"Shooter";"N"
71;"Hero Academy";"PC";9;"Board";"Y"
72;"Hero Academy";"iPhone";9;"Strategy";"Y"
73;"Puzzle Craft";"iPhone";9;"Puzzle";"Y"
74;"Realms Of Ancient War";"Xbox 360";6;"Action";"N"
75;"Realms Of Ancient War";"PlayStation 3";6;"Action";"N"
76;"Anomaly: Warzone Earth";"PlayStation 3";8;"Action";"N"
77;"Darksiders II";"PC";8;"Action";"N"
78;"Left 4 Dead 2: Cold Stream";"Macintosh";7;"Shooter";"N"
79;"Left 4 Dead 2: Cold Stream";"PC";7;"Shooter";"N"
80;"Puzzle Craft";"Android";9;"Puzzle";"Y"
81;"Left 4 Dead 2: Cold Stream";"Xbox 360";7;"Shooter";"N"
82;"Horn";"iPhone";9;"Action, Adventure";"Y"
83;"Forza Horizon";"Xbox 360";9;"Racing";"Y"
84;"FIFA Soccer 13";"PlayStation Vita";4;"Sports";"N"
85;"Mugen Souls";"PlayStation 3";4;"Strategy, RPG";"N"
86;"Crazy Taxi";"iPhone";7;"Racing, Action";"N"
87;"New Little King's Story";"PlayStation Vita";6;"RPG";"N"
88;"Fable: The Journey";"Xbox 360";7;"Action, RPG";"N"
89;"The Lord of the Rings Online: Riders of Rohan";"PC";8;"RPG";"N"
90;"Doom 3: BFG Edition";"Xbox 360";8;"RPG";"N"
91;"Rugby League Live 2";"Xbox 360";6;"Sports";"N"
92;"Rugby League Live 2";"PlayStation 3";6;"Sports";"N"
93;"Doom 3: BFG Edition";"PlayStation 3";8;"RPG";"N"
94;"Punch Quest";"iPhone";9;"Action";"Y"
